,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
457566,3423,2662,4,967359985,M,25,7,84088,"War of the Worlds, The (1953)",Action|Sci-Fi|War,False
58504,3947,608,5,965691680,M,25,0,90019,Fargo (1996),Crime|Drama|Thriller,False
397154,2174,300,4,974612420,M,50,12,87505,Quiz Show (1994),Drama,False
789851,2860,2459,5,974234902,M,35,17,20009,"Texas Chainsaw Massacre, The (1974)",Horror,False
985278,4041,505,2,965714853,M,18,3,48005,North (1994),Comedy,False
582562,4141,517,4,965350578,M,35,17,95014,Rising Sun (1993),Action|Drama|Mystery,False
69877,4814,2916,3,962929831,M,18,14,80526,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
40813,2116,150,4,974648274,M,18,4,49546,Apollo 13 (1995),Drama,False
247362,3017,224,3,970531159,F,35,9,85255,Don Juan DeMarco (1995),Comedy|Drama|Romance,False
491022,5520,858,5,959737468,M,45,1,18901,"Godfather, The (1972)",Action|Crime|Drama,False
37709,3967,1022,3,967552660,F,18,2,13603,Cinderella (1950),Animation|Children's|Musical,False
829186,2383,1300,4,974415320,F,25,14,95125,My Life as a Dog (Mitt liv som hund) (1985),Drama,False
74589,765,1213,4,975451388,M,25,17,74467,GoodFellas (1990),Crime|Drama,False
368318,3416,1274,5,967400698,M,25,12,20850,Akira (1988),Adventure|Animation|Sci-Fi|Thriller,False
140495,202,2571,5,976938904,M,18,4,53706,"Matrix, The (1999)",Action|Sci-Fi|Thriller,False
174822,4305,318,5,965264662,F,45,17,27616,"Shawshank Redemption, The (1994)",Drama,False
84221,3441,1610,2,967918877,F,25,14,94109,"Hunt for Red October, The (1990)",Action|Thriller,False
85222,2186,292,4,974607869,M,18,5,41018,Outbreak (1995),Action|Drama|Thriller,False
791767,4506,2463,4,964983480,M,50,16,29464,Ruthless People (1986),Comedy,False
991370,4238,2521,2,965417679,M,35,16,44691,Airport 1975 (1974),Drama,False
484292,1501,924,3,974930363,M,25,11,75801,2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller,False
532849,1308,541,4,974783600,M,1,10,75082,Blade Runner (1982),Film-Noir|Sci-Fi,False
374195,4099,253,4,965415146,M,35,17,94954,Interview with the Vampire (1994),Drama|Horror,False
681038,2860,2020,4,974232497,M,35,17,20009,Dangerous Liaisons (1988),Drama|Romance,False
265449,90,1704,3,993872302,M,56,13,85749,Good Will Hunting (1997),Drama,False
204775,4260,1304,3,972110279,M,25,16,59079,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,False
133001,3929,736,4,965708149,M,25,5,80227,Twister (1996),Action|Adventure|Romance|Thriller,False
863625,1545,3771,1,974744054,M,25,20,20009,"Golden Voyage of Sinbad, The (1974)",Action|Adventure,False
954736,3768,3766,2,966063432,M,25,4,86314,Missing in Action (1984),Action|War,False
666907,4085,2248,5,967510769,F,25,6,79416,Say Anything... (1989),Comedy|Drama|Romance,False
882048,438,2857,4,976249515,M,18,11,53705,Yellow Submarine (1968),Animation|Musical,False
858142,352,3802,5,976325617,M,18,4,60115,Freejack (1992),Action|Sci-Fi,False
488297,727,1020,4,975518271,M,35,11,94061,Cool Runnings (1993),Comedy,False
83303,6000,1253,5,956879312,M,45,17,30075,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi,False
858904,2010,66,1,974677615,M,18,4,81520,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,False
924516,4888,3069,3,962740124,F,56,0,08055,"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",Drama,False
867562,3948,1014,5,965681773,F,45,12,61554,Pollyanna (1960),Children's|Comedy|Drama,False
862828,5738,891,1,958416765,M,25,12,55406,Halloween: The Curse of Michael Myers (1995),Horror|Thriller,False
666232,4765,262,4,1012020853,F,35,16,03301,"Little Princess, A (1995)",Children's|Drama,False
46190,2818,2692,4,972668186,M,25,12,55106,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance,False
306172,3569,2683,4,969671242,F,18,2,48823,Austin Powers: The Spy Who Shagged Me (1999),Comedy,False
509461,3892,2000,5,965798085,M,25,20,91505,Lethal Weapon (1987),Action|Comedy|Crime|Drama,False
613208,1404,2387,4,974766473,M,50,16,91360,Very Bad Things (1998),Comedy|Crime,False
748467,5775,951,5,958165558,M,25,11,10024,His Girl Friday (1940),Comedy,False
882857,405,516,4,976390389,M,56,1,13077,Renaissance Man (1994),Comedy|Drama|War,False
448990,2181,2657,4,974611008,M,25,0,45245,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,False
245651,4344,728,4,965332641,M,25,1,44240,Cold Comfort Farm (1995),Comedy,False
588732,3756,3033,4,966099599,M,18,12,53188,Spaceballs (1987),Comedy|Sci-Fi,False
877223,445,1762,1,976240278,M,45,12,55117,Deep Rising (1998),Action|Horror|Sci-Fi,False
744056,3773,1388,3,966048097,M,35,6,50265,Jaws 2 (1978),Action|Horror,False
800971,5053,1208,5,962490667,M,25,4,84111,Apocalypse Now (1979),Drama|War,False
475381,5917,1375,4,957315856,F,50,1,94550,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi,False
880145,2109,1011,1,974655791,M,25,16,13090,Herbie Rides Again (1974),Adventure|Children's|Comedy,False
626236,1767,1179,4,975386539,M,25,20,75205,"Grifters, The (1990)",Crime|Drama|Film-Noir,False
726757,5054,3258,3,1035919705,M,35,2,20818,Death Becomes Her (1992),Comedy,False
964365,2566,227,2,973966136,M,35,17,94022,Drop Zone (1994),Action,False
919666,5530,1050,3,959995221,F,18,4,63141,Looking for Richard (1996),Documentary|Drama,False
204011,822,1304,2,975811783,F,25,1,07666,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,False
491071,5621,858,5,1011755320,M,25,7,02135,"Godfather, The (1972)",Action|Crime|Drama,False
754473,3032,3361,4,970346886,M,25,0,47303,Bull Durham (1988),Comedy,False
434134,3029,7,3,972845942,M,18,4,92037,Sabrina (1995),Comedy|Romance,False
733671,6000,1267,4,956879065,M,45,17,30075,"Manchurian Candidate, The (1962)",Film-Noir|Thriller,False
931212,2595,3783,4,973828643,M,18,4,15213,Croupier (1998),Crime|Drama,False
228890,161,39,5,977220976,M,45,16,98107-2117,Clueless (1995),Comedy|Romance,False
835255,3588,3871,3,966661410,M,25,2,90068,Shane (1953),Drama|Western,False
798068,3380,1237,4,967672978,M,50,0,20815,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,False
963318,1958,1667,3,974927320,F,25,1,17055,Mad City (1997),Action|Drama,False
610453,2223,2433,3,974602403,M,25,2,60123,"Civil Action, A (1998)",Drama,False
472720,4814,2174,5,962929280,M,18,14,80526,Beetlejuice (1988),Comedy|Fantasy,False
104801,774,1690,3,975533309,M,18,4,22903,Alien: Resurrection (1997),Action|Horror|Sci-Fi,False
325388,1230,1101,5,974836506,M,25,11,95125,Top Gun (1986),Action|Romance,False
694145,6036,1350,4,956717123,F,25,15,32603,"Omen, The (1976)",Horror,False
879682,3312,19,2,976673632,F,18,4,90039,Ace Ventura: When Nature Calls (1995),Comedy,False
237756,1112,2058,4,974948115,M,18,6,19104,"Negotiator, The (1998)",Action|Thriller,False
595479,3228,2719,2,968418739,M,25,14,05448,"Haunting, The (1999)",Horror|Thriller,False
348441,2244,3565,1,975887680,M,1,10,60565,Where the Heart Is (2000),Comedy|Drama,False
97242,2627,110,5,973627547,M,25,1,06877,Braveheart (1995),Action|Drama|War,False
409262,4445,2302,3,965088542,M,25,3,19806,My Cousin Vinny (1992),Comedy,False
374474,631,3250,4,975780303,M,35,17,28601,Alive (1993),Drama,False
627709,1556,3863,5,978672320,M,18,4,48073,"Cell, The (2000)",Sci-Fi|Thriller,False
985977,3300,1484,5,968034289,M,35,5,19119,"Daytrippers, The (1996)",Mystery,False
197215,4030,1580,3,965513972,M,35,7,89128,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,False
237881,2021,2058,5,974977428,M,25,0,61364,"Negotiator, The (1998)",Action|Thriller,False
237542,4937,41,5,962675654,M,35,0,02108,Richard III (1995),Drama|War,False
898856,757,436,3,975458665,M,25,12,97401,Color of Night (1994),Drama|Thriller,False
34125,1194,3186,4,1036259817,F,25,1,95617,"Girl, Interrupted (1999)",Drama,False
597590,2454,2581,4,974179958,M,18,0,97005,Never Been Kissed (1999),Comedy|Romance,False
797947,977,1237,3,975110247,M,25,2,80110,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,False
226746,2042,2987,4,974667082,M,1,10,79358,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,False
363199,4360,2429,2,965187997,F,25,9,98001,Mighty Joe Young (1998),Adventure|Children's|Drama,False
424627,2338,1252,4,974429910,M,45,17,13152,Chinatown (1974),Film-Noir|Mystery|Thriller,False
392752,5557,367,4,959441508,M,35,14,33701,"Mask, The (1994)",Comedy|Crime|Fantasy,False
86669,4261,902,3,965305189,F,35,6,07950,Breakfast at Tiffany's (1961),Drama|Romance,False
986668,509,2062,2,976296440,M,25,2,55125,"Governess, The (1998)",Drama|Romance,False
275960,3621,176,4,966715121,M,18,4,33023,Living in Oblivion (1995),Comedy,False
972379,5954,2898,4,957705750,M,45,11,70802,"Dark Half, The (1993)",Horror|Mystery,False
816306,5922,3504,4,957469955,M,56,3,94561,Network (1976),Comedy|Drama,False
472626,4381,2174,4,965262588,M,25,4,65804,Beetlejuice (1988),Comedy|Fantasy,False
117627,2197,480,5,974605815,F,25,1,27515,Jurassic Park (1993),Action|Adventure|Sci-Fi,False
513452,3853,2003,4,970208203,M,25,14,92614,Gremlins (1984),Comedy|Horror,False
932073,1680,417,3,974835342,M,25,20,95380,Barcelona (1994),Comedy|Romance,False
243312,267,1617,5,976644024,M,45,12,55001,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,False
93778,2541,3255,4,974046393,F,35,5,49424,"League of Their Own, A (1992)",Comedy|Drama,False
544375,5831,3198,4,957888584,M,25,1,92120,Papillon (1973),Drama,False
654711,5042,222,3,962662460,F,18,2,55408,Circle of Friends (1995),Drama|Romance,False
167474,3981,3095,4,965629162,F,45,0,97701,"Grapes of Wrath, The (1940)",Drama,False
104542,5689,589,4,958769741,M,25,0,84119,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
918991,4033,418,2,965530334,M,25,6,43551,Being Human (1993),Drama,False
61905,5792,647,3,1001009775,M,25,17,43201,Courage Under Fire (1996),Drama|War,False
741265,2444,196,3,974578024,F,45,4,42420,Species (1995),Horror|Sci-Fi,False
513767,402,1203,4,984684769,M,25,11,55427,12 Angry Men (1957),Drama,False
388299,893,1673,3,975227597,F,50,6,85016,Boogie Nights (1997),Drama,False
116173,3731,3699,4,966209760,M,25,17,67443,Starman (1984),Adventure|Drama|Romance|Sci-Fi,False
609098,1776,1625,5,983040196,M,25,0,45801,"Game, The (1997)",Mystery|Thriller,False
363934,3562,1488,2,966793152,F,25,6,32812,"Devil's Own, The (1997)",Action|Drama|Thriller|War,False
796403,889,3730,5,975248592,M,45,20,10024,"Conversation, The (1974)",Drama|Mystery,False
334653,5522,3536,4,959646324,M,25,14,02460,Keeping the Faith (2000),Comedy|Romance,False
13160,2084,595,4,974771349,M,18,4,23186,Beauty and the Beast (1991),Animation|Children's|Musical,False
119234,1340,1442,1,975129374,M,25,7,14302,Prefontaine (1997),Drama,False
576690,3652,3785,2,966455866,M,25,12,94608,Scary Movie (2000),Comedy|Horror,False
182326,749,3421,5,975477080,M,35,18,56303,Animal House (1978),Comedy,False
611808,922,1644,3,975212594,M,56,16,48009,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller,False
797689,3760,3683,3,966096327,M,50,0,55128,Blood Simple (1984),Drama|Film-Noir,False
903764,2914,2788,5,971762165,M,25,4,92614,And Now for Something Completely Different (1971),Comedy,False
354862,149,1393,4,977589456,M,25,1,29205,Jerry Maguire (1996),Drama|Romance,False
531232,1733,1073,3,977809542,M,18,14,43725,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy,False
287652,5259,908,4,961203504,M,25,6,94404,North by Northwest (1959),Drama|Thriller,False
280968,4345,3100,4,966267578,F,25,14,44304,"River Runs Through It, A (1992)",Drama,False
771396,3129,1298,1,969366298,M,25,7,21117,Pink Floyd - The Wall (1982),Drama|Musical|War,False
273121,4448,2580,5,966980968,M,25,14,06880,Go (1999),Crime,False
875323,3285,2401,3,968211638,M,25,4,44706,Pale Rider (1985),Western,False
827042,3808,1130,4,965974066,M,25,7,60010,"Howling, The (1980)",Horror,False
483412,3668,923,4,966383934,F,45,7,33324,Citizen Kane (1941),Drama,False
781071,1242,1541,3,974908426,F,35,0,10014,Addicted to Love (1997),Comedy|Romance,False
687290,777,1321,2,975522760,M,18,19,87543,"American Werewolf in London, An (1981)",Horror,False
172171,2676,2943,4,973403244,M,56,20,78731,Indochine (1992),Drama|Romance,False
182574,2041,3421,2,978575993,F,25,20,24015,Animal House (1978),Comedy,False
391273,5040,2699,4,962512445,M,45,12,44312,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller,False
474048,4277,1374,4,965294089,M,35,16,98133,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
37251,1943,1836,4,974866217,M,18,4,91501,"Last Days of Disco, The (1998)",Drama,False
448061,2860,3525,3,974234510,M,35,17,20009,Bachelor Party (1984),Comedy,False
974049,3526,2372,3,966906435,M,35,2,62263-3004,Fletch Lives (1989),Comedy,False
78369,3029,2881,3,972845588,M,18,4,92037,Double Jeopardy (1999),Action|Thriller,False
259293,1782,2716,3,974701308,M,45,0,23454,Ghostbusters (1984),Comedy|Horror,False
277006,1639,3249,4,975141820,M,25,17,95405,"Hand That Rocks the Cradle, The (1992)",Thriller,False
228236,3159,2333,5,968880331,F,25,15,15213,Gods and Monsters (1998),Drama,False
420712,2338,3359,5,974428202,M,45,17,13152,Breaking Away (1979),Drama,False
402817,462,1356,4,983961095,M,18,16,55416,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi,False
395624,4543,3948,3,1004750228,M,25,2,11105,Meet the Parents (2000),Comedy,False
61407,5241,1537,5,961438811,F,25,4,02138,Shall We Dance? (Shall We Dansu?) (1996),Comedy,False
372984,1427,3173,5,974760122,M,25,12,21401,Any Given Sunday (1999),Drama,False
806021,4386,3554,4,980262919,M,25,5,74055,Love and Basketball (2000),Drama|Romance,False
510045,5920,2000,3,957311245,F,25,1,05401,Lethal Weapon (1987),Action|Comedy|Crime|Drama,False
662316,3979,2089,5,965628163,F,50,9,59072,"Rescuers Down Under, The (1990)",Animation|Children's,False
264545,5482,1127,3,959867575,M,18,7,10014,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,False
162497,1301,920,5,974788152,F,25,2,10475,Gone with the Wind (1939),Drama|Romance|War,False
284102,5920,1500,4,977152821,F,25,1,05401,Grosse Pointe Blank (1997),Comedy|Crime,False
276886,5604,1643,4,960001745,M,35,15,63117,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Drama|Romance,False
875344,3539,2401,4,967017655,F,25,4,77006,Pale Rider (1985),Western,False
896301,3246,193,1,968309782,F,35,1,85258,Showgirls (1995),Drama,False
427965,5747,1831,3,958355749,M,25,0,03755,Lost in Space (1998),Action|Sci-Fi|Thriller,False
254888,3462,377,4,967178285,F,25,4,73160,Speed (1994),Action|Romance|Thriller,False
24830,3742,1270,5,966146132,M,25,0,90266,Back to the Future (1985),Comedy|Sci-Fi,False
175051,4899,318,4,962703052,M,25,12,94402,"Shawshank Redemption, The (1994)",Drama,False
347635,2453,1674,4,976581640,M,25,7,55429,Witness (1985),Drama|Romance|Thriller,False
513255,2237,2003,4,974599597,F,35,6,14905,Gremlins (1984),Comedy|Horror,False
389690,5447,1678,4,959971046,M,45,2,60626,"Joy Luck Club, The (1993)",Drama,False
260328,4575,2716,5,964446203,F,1,10,03608,Ghostbusters (1984),Comedy|Horror,False
672430,1680,1391,4,974837231,M,25,20,95380,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,False
73341,5535,1210,4,959582049,M,25,15,94538,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,False
991700,4531,722,3,965103797,M,18,4,85701,"Haunted World of Edward D. Wood Jr., The (1995)",Documentary,False
301128,2792,1732,4,972933497,M,18,4,02452,"Big Lebowski, The (1998)",Comedy|Crime|Mystery|Thriller,False
939037,445,3515,3,976240790,M,45,12,55117,Me Myself I (2000),Comedy,False
659616,1635,1275,5,974716244,M,25,0,97212,Highlander (1986),Action|Adventure,False
563260,5344,3396,4,960676140,F,50,1,98177,"Muppet Movie, The (1979)",Children's|Comedy,False
907487,5854,2147,4,958270119,M,45,7,33135,"Clan of the Cave Bear, The (1986)",Drama,False
216670,3243,1036,5,968339162,M,25,12,98117,Die Hard (1988),Action|Thriller,False
840446,4169,945,5,966700205,M,50,0,66048,Top Hat (1935),Comedy|Musical|Romance,False
818467,4152,3019,4,965341950,M,25,14,74114,Drugstore Cowboy (1989),Crime|Drama,False
832611,5367,3712,2,960504024,M,18,4,55344,Soapdish (1991),Comedy,False
192381,5536,1615,3,959811661,M,25,16,67204,"Edge, The (1997)",Adventure|Thriller,False
335934,5831,3753,3,965625514,M,25,1,92120,"Patriot, The (2000)",Action|Drama|War,False
859892,4049,1590,2,965498399,M,45,11,33133,Event Horizon (1997),Action|Mystery|Sci-Fi|Thriller,False
588663,3389,3033,4,967581553,M,18,0,13603,Spaceballs (1987),Comedy|Sci-Fi,False
979092,3577,613,3,966710906,F,56,0,00231,Jane Eyre (1996),Drama|Romance,False
759222,4088,372,4,965431337,M,25,3,77057,Reality Bites (1994),Comedy|Drama,False
208665,5182,3671,4,961788596,F,35,7,55441,Blazing Saddles (1974),Comedy|Western,False
898144,5649,22,5,958868109,F,18,4,90025,Copycat (1995),Crime|Drama|Thriller,False
532041,5543,1073,3,991509512,M,25,17,97401,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy,False
758635,4078,2915,3,965603852,M,25,15,28226,Risky Business (1983),Comedy,False
438147,4443,1269,3,965096026,M,56,2,91321,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller,False
451236,595,317,3,975896905,M,25,7,10019,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,False
965979,5074,3272,2,962429181,M,1,0,20132,Bad Lieutenant (1992),Crime|Drama,False
653244,4591,2123,4,964328645,M,25,15,02143,All Dogs Go to Heaven (1989),Animation|Children's,False
358292,5812,650,3,957944706,F,25,7,92120,Moll Flanders (1996),Drama,False
838750,1988,3060,2,974683184,F,25,1,85224,"Commitments, The (1991)",Comedy|Drama,False
212352,696,2081,4,975563197,M,25,12,94114,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,False
800529,2946,1208,5,971274603,M,35,16,92630,Apocalypse Now (1979),Drama|War,False
353895,518,2336,5,981057461,F,35,12,75240,Elizabeth (1998),Drama,False
921510,1791,3007,3,974701858,M,18,4,19146,American Movie (1999),Documentary,False
936046,2188,438,2,974609483,F,18,19,60641,"Cowboy Way, The (1994)",Action|Comedy,False
570268,151,85,1,978682197,F,25,20,85013,Angels and Insects (1995),Drama|Romance,False
729831,1727,1248,4,974786444,M,35,16,50317,Touch of Evil (1958),Crime|Film-Noir|Thriller,False
490596,4408,858,5,965152839,F,45,2,19033,"Godfather, The (1972)",Action|Crime|Drama,False
442989,1185,2072,2,974851197,F,35,1,97374,"'burbs, The (1989)",Comedy,False
446897,1128,1278,3,974907524,M,25,1,72701,Young Frankenstein (1974),Comedy|Horror,False
645379,3724,2527,3,966226094,M,35,6,77083,Westworld (1973),Action|Sci-Fi|Thriller|Western,False
361697,1069,58,4,974941651,M,25,20,98105,"Postino, Il (The Postman) (1994)",Drama|Romance,False
278914,5234,1719,5,961448330,F,25,0,60657,"Sweet Hereafter, The (1997)",Drama,False
214771,3067,1214,5,970003767,F,25,0,02148,Alien (1979),Action|Horror|Sci-Fi|Thriller,False
717772,4808,2249,3,963032838,M,35,0,96707-1321,My Blue Heaven (1990),Comedy,False
261291,3749,1485,4,966134308,F,25,0,60664,Liar Liar (1997),Comedy,False
186971,3610,104,5,966610672,M,18,6,30064,Happy Gilmore (1996),Comedy,False
726118,4808,2374,3,962958856,M,35,0,96707-1321,Gung Ho (1986),Comedy|Drama,False
245363,5682,1617,5,958963348,M,18,0,23455-4959,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,False
456960,4167,3608,3,965336316,M,25,20,22032,Pee-wee's Big Adventure (1985),Comedy,False
988008,2909,2902,2,971973901,M,25,7,43228,Psycho II (1983),Horror|Thriller,False
987891,2030,3487,4,974670218,M,25,4,77345,"Dorado, El (1967)",Western,False
655751,5575,3440,1,959291523,M,35,7,19808,Teenage Mutant Ninja Turtles III (1993),Action|Children's|Fantasy,False
957795,3821,3416,3,974761500,M,25,20,44313,"Trial, The (Le Procès) (1963)",Drama,False
975362,3464,1631,4,967246625,F,25,14,78251,"Assignment, The (1997)",Thriller,False
728101,2693,1222,4,973319921,M,56,13,72949,Full Metal Jacket (1987),Action|Drama|War,False
315052,3518,2908,5,967039715,F,18,7,11215,Boys Don't Cry (1999),Drama,False
657159,3475,2141,3,1015736615,M,25,14,33133,"American Tail, An (1986)",Animation|Children's|Comedy,False
