"id","submitted","areas_of_interest","subinterests"
15500,1375736566,"Small Businesses",NULL
20704,1386816130,"Productivity Tools,Smart Home,Social Impact,Transportation",NULL
16924,1378305308,"Advertising,Productivity Tools,Small Businesses,Social Impact",NULL
24266,1394576359,"Enterprise Software,Events,Media,Productivity Tools,Recruiting,Social Impact",""
17797,1379978953,"Data & Analytics,Green,Healthcare,Local,Mobile,Social Impact","Wellness"
19654,1384317789,"Social Impact",NULL
15230,1375218382,"Healthcare,Mobile",NULL
27687,1404002271,NULL,NULL
18940,1382353146,"Commerce,Dating,Education,Fashion,Music,Transportation,Travel","Lifelong Learning (outside of school)"
17619,1379575495,"Data & Analytics,Fashion,Green,Robotics,Wearable Tech",NULL
17620,1379576315,"Commerce",NULL
16649,1377729310,"Advertising,Small Businesses",NULL
15899,1376511536,"Education,Enterprise Software,Financial Services,Games,Healthcare,Mobile,Productivity Tools,Small Businesses,Travel,Wearable Tech",""
15372,1375470785,"Cloud Services,Data & Analytics,Education,Mobile,Photos,Sports,Travel","Lifelong Learning (outside of school),Higher Education"
26175,1399657641,NULL,NULL
22882,1392232009,NULL,NULL
17470,1379351811,"3D Printing,Consumer Electronics,Hardware,Sports,Travel,Wearable Tech",NULL
22265,1391031889,"Advertising,Media,Mobile,Music","Content,News"
15172,1375145456,"Healthcare,Mobile","Fitness,Nutrition,Quantified-self,Wellness"
18485,1381415619,"Advertising,Cloud Services,Data & Analytics,Education,Enterprise Software,Events,Mobile","Edutainment,In-classroom learning (K-12),Lifelong Learning (outside of school),Teacher training,Youth Leadership,Higher Education"
23367,1392761017,NULL,NULL
19003,1382494963,"Education,Youth Leadership","Youth Leadership"
16199,1377036127,"Consumer Electronics,Financial Services,Hardware,Mobile,Productivity Tools",NULL
17223,1378865700,"Commerce,Local,Small Businesses,Social Impact",NULL
18764,1381971757,"Education","In-classroom learning (K-12),Higher Education"
15763,1376230788,"Dating,Events",NULL
21370,1389050735,"Cloud Services,Commerce,Consumer Electronics,Data & Analytics,Enterprise Software,Hardware,Mobile,Payments,Photos,Robotics,Smart Home,Wearable Tech",NULL
21371,1389052804,"Cloud Services,Data & Analytics,Enterprise Software,Green,Media,Mobile,Social Impact","News"
24599,1395432184,NULL,NULL
16196,1377029464,"Consumer Electronics,Events,Healthcare,Media,Mobile,Photos,Robotics,Wearable Tech","Records,Content"
16197,1377029883,"Advertising,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Media,Mobile,Productivity Tools,Recruiting,Social Impact,Video","Content"
14930,1374776285,"Advertising,Green,Mobile,Travel",NULL
15578,1375855015,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Financial Services,Healthcare,Media,Mobile,Productivity Tools,Sports",NULL
14957,1374802617,"Games,Hardware,Media,Mobile,Music,Payments,Travel",NULL
23515,1392932401,NULL,NULL
15297,1375351114,"Advertising",NULL
14886,1374735722,"Commerce,Financial Services,Green,Local,Payments,Productivity Tools,Social Impact",NULL
14887,1374735897,"Cloud Services,Commerce,Data & Analytics,Events,Games,Media,Mobile,Recruiting,Small Businesses,Sports","Content"
14888,1374737528,"Green,Small Businesses,Social Impact,Travel",NULL
14889,1374740276,"Advertising,Commerce,Local,Mobile,Payments,Productivity Tools,Small Businesses,Social Impact",NULL
14890,1374742845,"Cloud Services,Commerce,Green",NULL
14891,1374743957,"Commerce,Data & Analytics,Events,Local,Media,Mobile,Small Businesses","Content,Movies/Film,News"
14892,1374744609,"Media,Mobile,Photos,Social Impact","Content"
14893,1374756566,"Advertising,Cloud Services,Commerce,Events,Mobile,Music,Productivity Tools,Small Businesses,Sports,Travel",NULL
14894,1374758601,"Media,Mobile,Music,Video","Content,Movies/Film,TV"
14895,1374761815,"Education,Events,Games,Hardware,Healthcare,Mobile,Music,Productivity Tools","Edutainment,In-classroom learning (K-12),Lifelong Learning (outside of school),Higher Education,Fitness,Nutrition,Quantified-self,Wellness"
14896,1374762124,"Commerce,Financial Services,Small Businesses,Social Impact,Travel",NULL
14897,1374763214,"Data & Analytics,Education,Games,Healthcare,Mobile,Travel","Fitness,Quantified-self"
14898,1374763436,"Education,Mobile,Music,Social Impact",NULL
14899,1374765876,"Cloud Services,Hardware,Mobile",NULL
14900,1374765925,"Advertising,Education",NULL
14901,1374766084,"Cloud Services,Data & Analytics,Financial Services,Mobile",NULL
14902,1374766110,"Data & Analytics,Green,Hardware,Local,Mobile,Social Impact",NULL
14903,1374766260,"Advertising,Data & Analytics,Dating,Fashion,Games,Media,Mobile,Recruiting,Sports","Content"
14904,1374766362,"Commerce,Data & Analytics,Games,Local,Mobile,Payments,Small Businesses",NULL
14905,1374767189,"Advertising,Games,Mobile,Productivity Tools,Small Businesses,Sports",NULL
14906,1374767536,"Advertising,Commerce,Data & Analytics,Enterprise Software,Events,Fashion,Mobile,Payments,Productivity Tools,Small Businesses,Travel",NULL
14907,1374767739,"Advertising,Cloud Services,Education,Enterprise Software",NULL
14908,1374768391,"Advertising,Events,Mobile,Small Businesses,Travel",NULL
14909,1374768417,"Education,Family,Music,Youth Leadership","In-classroom learning (K-12),Lifelong Learning (outside of school),Youth Leadership"
14910,1374769877,"Enterprise Software,Financial Services,Local,Mobile,Small Businesses,Sports,Travel",NULL
14911,1374770002,"Cloud Services,Games,Mobile,Productivity Tools,Sports",NULL
14912,1374770101,"Cloud Services,Financial Services,Green,Travel",""
14913,1374770191,"Advertising,Commerce,Dating,Fashion,Games,Media,Mobile,Payments,Small Businesses,Sports,Video","Content"
14914,1374770911,"Family,Youth Leadership",NULL
14915,1374771030,"Commerce,Fashion",NULL
14916,1374771767,"Advertising,Data & Analytics,Events,Media,Mobile,Photos,Social Impact,Travel","Content"
14917,1374771880,"Dating,Small Businesses,Social Impact",NULL
14918,1374772209,"Cloud Services,Commerce,Education,Fashion,Games,Hardware,Media,Mobile,Photos,Productivity Tools",NULL
14919,1374772432,"Cloud Services,Commerce,Data & Analytics,Mobile,Payments,Travel",NULL
14920,1374772940,"Commerce,Photos,Social Impact",NULL
14921,1374773007,"Advertising,Cloud Services,Commerce,Data & Analytics,Mobile",NULL
14922,1374773039,"Data & Analytics,Local,Productivity Tools,Travel",NULL
14923,1374773635,"Advertising,Commerce,Data & Analytics,Events,Payments,Sports",NULL
14924,1374773680,"Commerce,Events,Financial Services,Healthcare,Mobile,Productivity Tools,Sports,Travel","Fitness,Nutrition"
14925,1374774069,"Data & Analytics,Education,Social Impact",NULL
15653,1375969971,"Commerce,Data & Analytics,Enterprise Software,Financial Services,Green,Hardware",NULL
14926,1374774090,"Events,Fashion,Hardware,Sports,Travel",NULL
15188,1375166434,"Commerce,Mobile",NULL
14928,1374774248,"Commerce,Green,Hardware,Healthcare","Fitness,Wellness"
14929,1374774365,"Cloud Services,Data & Analytics,Enterprise Software,Financial Services,Media,Mobile,Payments,Productivity Tools,Small Businesses",""
14931,1374776644,"Advertising,Cloud Services,Data & Analytics,Mobile,Payments,Social Impact,Sports,Travel",NULL
15009,1374896243,"Advertising,Commerce,Data & Analytics,Healthcare,Local,Media,Mobile,Photos,Small Businesses","Wellness,Content,News"
14933,1374777227,"Advertising,Data & Analytics,Fashion,Green,Hardware,Mobile,Social Impact",NULL
14934,1374778177,"Advertising,Commerce,Hardware,Healthcare,Mobile,Productivity Tools,Small Businesses,Sports","Fitness,Wellness"
14935,1374778456,"Healthcare","Wellness"
14936,1374778547,"Advertising,Cloud Services,Data & Analytics,Mobile,Music,Small Businesses,Sports,Travel",NULL
14937,1374779099,"Dating,Mobile",NULL
14938,1374779247,"Education,Family,Youth Leadership","Edutainment,Lifelong Learning (outside of school),Higher Education"
14939,1374780557,"Cloud Services,Data & Analytics,Enterprise Software,Hardware,Payments",NULL
14976,1374853509,"Cloud Services,Data & Analytics,Games,Green,Healthcare,Mobile,Social Impact",""
14941,1374780806,"Cloud Services,Commerce,Data & Analytics,Financial Services,Hardware,Mobile,Payments,Productivity Tools,Small Businesses,Social Impact",NULL
14942,1374781858,"Enterprise Software,Fashion,Hardware,Healthcare,Mobile,Payments,Productivity Tools",NULL
14943,1374782692,"Advertising,Commerce,Data & Analytics,Mobile,Payments,Small Businesses,Social Impact",NULL
14944,1374783038,"Education,Int'l Development (Outside US/Canada),Music","Edutainment"
14945,1374783826,"Data & Analytics,Mobile",NULL
14946,1374784022,"Cloud Services,Commerce,Hardware,Local,Mobile,Payments,Travel",NULL
14947,1374788417,"Advertising,Cloud Services,Education,Healthcare,Media,Small Businesses","Content,News"
14948,1374788994,"Commerce,Data & Analytics,Green,Mobile,Music,Sports",NULL
14949,1374790045,"Cloud Services,Commerce,Data & Analytics,Dating,Education,Enterprise Software,Fashion,Games,Green,Local,Media,Mobile,Payments,Photos,Productivity Tools,Social Impact,Sports,Video","Content,Movies/Film"
14950,1374792618,"Advertising,Cloud Services,Commerce,Dating,Education,Events,Media,Mobile,Productivity Tools,Small Businesses,Social Impact,Sports","In-classroom learning (K-12),Lifelong Learning (outside of school),Higher Education"
14951,1374792623,"Commerce,Fashion,Green,Healthcare,Productivity Tools,Small Businesses,Sports,Travel",NULL
14952,1374793739,"Advertising,Commerce,Data & Analytics,Green,Hardware,Healthcare,Local,Payments,Small Businesses,Social Impact","Quantified-self,Wellness"
14953,1374795542,"Cloud Services,Data & Analytics,Education,Financial Services,Hardware,Productivity Tools,Sports",NULL
14954,1374795583,"Commerce,Local,Small Businesses,Social Impact",NULL
14955,1374795954,"Commerce,Data & Analytics,Fashion",NULL
14956,1374797331,"Education","Edutainment,In-classroom learning (K-12),Lifelong Learning (outside of school),Youth Leadership"
14961,1374807393,"Commerce,Data & Analytics,Events,Local,Mobile,Payments,Productivity Tools,Small Businesses,Social Impact,Video",""
14959,1374804327,"Cloud Services,Commerce,Data & Analytics,Education,Enterprise Software,Financial Services,Games,Green,Healthcare,Media,Mobile,Productivity Tools,Recruiting,Small Businesses,Social Impact,Video",""
14962,1374809619,"Education,Healthcare,Mobile,Social Impact","In-classroom learning (K-12),Lifelong Learning (outside of school),Teacher training,Youth Leadership,Fitness"
14963,1374812057,"Cloud Services,Mobile,Music,Productivity Tools,Social Impact",NULL
14964,1374814105,"Cloud Services,Data & Analytics,Social Impact",NULL
14965,1374825165,"Mobile",NULL
14966,1374826980,"Advertising,Financial Services,Games",NULL
14967,1374831304,"Cloud Services,Data & Analytics,Enterprise Software",NULL
14968,1374831629,"Int'l Development (Outside US/Canada),Youth Leadership",NULL
14969,1374832433,"Data & Analytics,Hardware,Mobile,Music",NULL
14970,1374840698,"Advertising,Cloud Services,Commerce,Data & Analytics,Dating,Enterprise Software,Events,Financial Services,Healthcare,Payments,Productivity Tools,Recruiting",NULL
14971,1374841303,"Data & Analytics,Social Impact",NULL
14972,1374842747,"Advertising",NULL
14973,1374846123,"Cloud Services,Commerce,Mobile,Small Businesses",NULL
14974,1374848366,"Green,Local,Mobile,Music,Productivity Tools,Small Businesses,Social Impact",NULL
14975,1374848636,"Cloud Services,Commerce,Enterprise Software,Media,Productivity Tools,Small Businesses,Social Impact","Content"
14977,1374856836,"Commerce,Local,Transportation",""
14979,1374858944,"Commerce,Data & Analytics,Dating,Enterprise Software,Events,Fashion,Financial Services,Hardware,Mobile,Productivity Tools,Recruiting,Travel",NULL
14978,1374857600,"Fashion,Games,Local,Media,Mobile,Music,Photos,Social Impact,Sports,Video",""
14980,1374859084,"Advertising,Cloud Services,Commerce,Data & Analytics,Education,Enterprise Software,Events,Games,Green,Local,Mobile,Payments,Productivity Tools,Small Businesses,Social Impact",""
14981,1374860251,"Mobile",NULL
14982,1374860305,"Productivity Tools",NULL
15165,1375140838,"Commerce,Data & Analytics,Fashion,Mobile",NULL
14984,1374861045,"Advertising,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Hardware,Int'l Development (Outside US/Canada),Mobile,Productivity Tools,Small Businesses,Sports,Travel",""
14986,1374861638,"Data & Analytics,Enterprise Software,Financial Services,Productivity Tools,Small Businesses",NULL
14985,1374861172,"Advertising,Cloud Services,Data & Analytics,Education,Enterprise Software,Financial Services,Green,Healthcare,Mobile,Productivity Tools,Social Impact,Travel","In-classroom learning (K-12),Teacher training,Higher Education,Records"
14987,1374862024,"Cloud Services,Data & Analytics,Mobile,Small Businesses,Social Impact,Video",NULL
14988,1374863081,"Cloud Services,Enterprise Software,Productivity Tools,Small Businesses",""
14989,1374863565,"Data & Analytics,Local,Mobile,Payments,Productivity Tools,Small Businesses,Social Impact",""
14990,1374863829,"Cloud Services,Data & Analytics,Events,Fashion,Games,Media,Mobile,Sports,Video","Content,Movies/Film,News,TV"
14991,1374863913,"Cloud Services,Data & Analytics,Productivity Tools,Small Businesses",NULL
14992,1374865001,"Cloud Services,Commerce,Data & Analytics,Fashion,Mobile,Music",""
14993,1374868114,"Cloud Services,Enterprise Software,Mobile,Productivity Tools,Social Impact",NULL
14994,1374868692,"Advertising,Enterprise Software,Events,Financial Services,Media,Mobile",NULL
14995,1374870990,"Cloud Services,Commerce,Enterprise Software,Events,Healthcare,Mobile,Productivity Tools,Small Businesses","Records"
15000,1374876505,"Advertising,Data & Analytics,Fashion,Financial Services,Local,Mobile,Sports,Travel",NULL
14996,1374872765,"Advertising,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Financial Services,Hardware,Healthcare,Local,Mobile,Music,Payments,Small Businesses,Travel",NULL
14997,1374873494,"Commerce,Enterprise Software,Fashion,Healthcare,Travel",NULL
14998,1374873928,"Education",NULL
14999,1374875432,"Cloud Services,Data & Analytics,Education,Mobile","In-classroom learning (K-12),Lifelong Learning (outside of school),Higher Education"
15001,1374877565,"Advertising,Financial Services,Mobile,Productivity Tools",NULL
15002,1374877664,"Data & Analytics,Hardware,Healthcare,Productivity Tools,Sports","Records"
15003,1374880486,"Data & Analytics,Enterprise Software,Green,Mobile,Productivity Tools,Social Impact",NULL
15004,1374881203,"Advertising,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Mobile,Payments,Small Businesses,Social Impact,Video",NULL
15005,1374887288,"Events,Green,Mobile,Music,Productivity Tools,Social Impact,Sports,Travel",""
15006,1374893126,"Cloud Services,Green,Local,Media,Mobile,Music,Productivity Tools,Social Impact","Content,News"
15007,1374893559,"Education,Media,Mobile","In-classroom learning (K-12),Content"
15011,1374915645,"Data & Analytics,Productivity Tools,Small Businesses",NULL
15012,1374918371,"Advertising,Dating,Events,Fashion,Financial Services,Media,Mobile,Payments,Small Businesses,Sports,Travel","Content"
15010,1374896463,"Sports",NULL
15013,1374937293,"Data & Analytics,Education,Music","Edutainment,Lifelong Learning (outside of school)"
15014,1374938211,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Payments,Small Businesses",NULL
15015,1374942025,"Cloud Services,Data & Analytics,Enterprise Software,Financial Services,Games,Hardware,Mobile",NULL
15016,1374943927,"Education","In-classroom learning (K-12),Lifelong Learning (outside of school),Higher Education"
15017,1374944876,"Green,Hardware,Mobile",NULL
15018,1374948038,"Data & Analytics,Healthcare,Mobile,Productivity Tools","Records"
15203,1375190070,"Fashion",NULL
15020,1374952942,"Advertising,Games,Media,Mobile,Music,Social Impact,Video",""
15021,1374958538,"Education,Events,Green,Local,Media,Photos,Social Impact,Travel","Edutainment,Lifelong Learning (outside of school),Higher Education,Content"
15022,1374960041,"Advertising,Commerce,Data & Analytics,Events,Games,Media,Mobile,Music,Payments","Content,Movies/Film,News,TV"
15023,1374969517,"Education,Int'l Development (Outside US/Canada)","Higher Education"
15024,1374970151,"Advertising,Cloud Services,Enterprise Software,Events,Fashion,Financial Services,Mobile,Payments,Small Businesses,Social Impact,Travel",NULL
15025,1374974328,"Data & Analytics,Dating,Healthcare","Quantified-self,Wellness"
15026,1374977198,"Advertising,Fashion,Media,Mobile,Music,Small Businesses,Sports,Video","Content,Movies/Film,TV"
15027,1374977610,"Commerce,Financial Services,Mobile,Music,Payments,Small Businesses",NULL
15028,1374981900,"Cloud Services,Data & Analytics,Enterprise Software,Games,Hardware,Mobile,Payments,Photos,Productivity Tools,Small Businesses,Social Impact",NULL
15029,1374982684,"Healthcare,Mobile","Records,Wellness"
15030,1374988178,"Data & Analytics,Healthcare,Local,Mobile,Social Impact,Travel","Fitness,Quantified-self,Records,Wellness"
15031,1374989132,"Cloud Services,Enterprise Software,Hardware,Healthcare,Mobile,Productivity Tools,Social Impact","Records"
15032,1374994318,"Cloud Services,Enterprise Software,Events,Local",NULL
15033,1374994535,"Commerce,Payments,Social Impact",NULL
15034,1374999804,"Advertising,Commerce,Enterprise Software,Fashion,Productivity Tools",NULL
15035,1375000415,"Advertising,Cloud Services,Education,Financial Services,Hardware,Local,Mobile,Payments,Productivity Tools,Small Businesses,Social Impact","Lifelong Learning (outside of school),Higher Education"
15036,1375003136,"Advertising,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Local,Mobile,Productivity Tools,Small Businesses",NULL
15037,1375003515,"Cloud Services,Data & Analytics,Enterprise Software",NULL
15038,1375008712,"Games,Mobile,Payments,Photos,Productivity Tools,Small Businesses,Travel",NULL
15039,1375008883,"Commerce,Dating,Fashion,Games,Mobile,Productivity Tools,Small Businesses,Social Impact,Sports,Travel",NULL
15040,1375020337,"Education","In-classroom learning (K-12),Lifelong Learning (outside of school),Teacher training"
15041,1375023231,"Events,Fashion,Green,Media,Music,Photos,Small Businesses,Video","Content,Movies/Film,TV"
15042,1375023696,"Cloud Services,Data & Analytics,Enterprise Software,Financial Services,Productivity Tools,Recruiting,Small Businesses",NULL
15043,1375031743,"Commerce,Small Businesses","Lifelong Learning (outside of school)"
15044,1375032176,"Advertising,Cloud Services,Local,Mobile,Payments,Productivity Tools,Small Businesses",NULL
15045,1375032192,"Advertising,Data & Analytics,Media,Mobile","Content,Movies/Film,TV"
15046,1375032473,"Advertising,Commerce,Education,Fashion,Financial Services,Local,Media,Mobile,Music,Payments,Small Businesses,Social Impact,Sports,Video","Content,Movies/Film,News,TV"
15047,1375034052,"Advertising,Cloud Services,Commerce,Data & Analytics,Dating,Enterprise Software,Events,Financial Services,Healthcare,Music,Payments,Photos,Productivity Tools,Recruiting,Small Businesses,Travel",NULL
15048,1375034505,"Healthcare,Mobile,Payments,Small Businesses",NULL
15049,1375035184,"Cloud Services,Enterprise Software,Media,Music","Content,Movies/Film"
15050,1375041832,"Advertising,Events,Fashion,Green,Media,Mobile,Music,Photos,Productivity Tools,Small Businesses,Social Impact,Travel","Content,Movies/Film,TV"
15051,1375043382,"Commerce,Dating,Enterprise Software,Financial Services,Mobile,Music,Productivity Tools,Small Businesses,Social Impact,Sports,Video",""
15052,1375046861,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Green,Hardware,Mobile,Productivity Tools,Social Impact",NULL
15053,1375046997,"Cloud Services,Mobile,Productivity Tools,Small Businesses",NULL
15054,1375052999,"Cloud Services,Data & Analytics,Enterprise Software,Green,Healthcare,Photos,Productivity Tools,Small Businesses,Social Impact","Quantified-self,Records,Wellness"
15055,1375060848,"Cloud Services,Data & Analytics,Hardware",NULL
15056,1375061362,"Commerce,Events,Media,Travel","Content"
15057,1375061413,"Advertising,Commerce,Data & Analytics,Dating,Enterprise Software,Events,Fashion,Financial Services,Green,Healthcare,Mobile,Photos,Productivity Tools,Travel",NULL
15058,1375061875,"Cloud Services,Data & Analytics,Enterprise Software,Green,Mobile,Music,Photos,Productivity Tools,Social Impact,Sports,Travel",NULL
15059,1375062977,"Data & Analytics,Education,Events,Music,Payments,Recruiting,Small Businesses","In-classroom learning (K-12),Teacher training,Higher Education"
15081,1375085950,"Commerce,Mobile,Payments,Productivity Tools,Small Businesses",NULL
15061,1375063701,"Cloud Services,Data & Analytics,Dating,Education,Enterprise Software,Games,Local,Productivity Tools,Recruiting,Sports,Travel","Edutainment,Lifelong Learning (outside of school)"
15063,1375064293,"Commerce,Data & Analytics,Local,Sports,Travel",NULL
15064,1375064423,"Cloud Services,Data & Analytics,Enterprise Software,Hardware",NULL
15068,1375069729,"Cloud Services,Data & Analytics,Social Impact",NULL
15069,1375071359,"Cloud Services,Commerce,Data & Analytics,Dating,Media,Mobile,Productivity Tools,Small Businesses,Social Impact,Wearable Tech",""
15070,1375074621,"Cloud Services,Data & Analytics,Enterprise Software,Mobile,Productivity Tools",""
15071,1375075417,"Advertising,Events,Local",NULL
15082,1375086533,"Games,Mobile,Social Impact",""
15075,1375077280,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Mobile,Productivity Tools,Recruiting,Small Businesses",NULL
18205,1380824829,"Advertising,Commerce,Data & Analytics,Dating,Enterprise Software,Events,Fashion,Healthcare,Local,Mobile,Payments,Productivity Tools,Small Businesses,Smart Home,Social Impact,Transportation,Travel","Fitness,Nutrition,Quantified-self,Records,Wellness"
15078,1375082381,"Cloud Services,Commerce,Data & Analytics,Education,Fashion,Financial Services,Healthcare,Mobile,Smart Home,Social Impact,Wearable Tech","In-classroom learning (K-12),Youth Leadership,Wellness,Medical Devices"
15077,1375079151,"Advertising,Enterprise Software,Fashion,Green,Mobile,Payments,Photos,Social Impact",NULL
15079,1375083696,"Games",NULL
15083,1375091025,"Cloud Services,Data & Analytics,Enterprise Software,Mobile,Productivity Tools,Small Businesses,Social Impact",NULL
15084,1375092464,"Dating,Events,Fashion,Games,Mobile,Sports,Travel",NULL
15085,1375092577,"Mobile",NULL
15086,1375093432,"Education,Enterprise Software,Productivity Tools",NULL
15087,1375095671,"Social Impact",NULL
15088,1375097129,"Data & Analytics,Enterprise Software,Small Businesses",NULL
15089,1375097453,"Advertising",NULL
15090,1375101854,"Small Businesses",NULL
15091,1375103236,"Data & Analytics,Enterprise Software,Mobile",NULL
15092,1375104055,"Productivity Tools",NULL
15093,1375104522,"Dating,Events,Fashion,Mobile,Music,Recruiting,Small Businesses,Social Impact,Travel",NULL
15094,1375104861,"Youth Leadership",NULL
15095,1375105264,"Commerce,Small Businesses",NULL
15096,1375106431,"Cloud Services,Dating,Enterprise Software,Green,Hardware,Healthcare,Mobile,Payments,Productivity Tools,Small Businesses","Fitness,Quantified-self,Wellness"
15097,1375106850,"Commerce,Travel",NULL
15098,1375107113,"Advertising,Data & Analytics,Enterprise Software,Fashion,Hardware,Local,Mobile,Music,Payments",""
15099,1375107132,"Advertising,Dating,Fashion,Mobile,Productivity Tools,Recruiting",NULL
15100,1375109460,"Commerce,Data & Analytics,Local,Payments,Productivity Tools,Small Businesses",""
15101,1375109908,"Data & Analytics,Local,Media,Mobile,Productivity Tools,Small Businesses,Social Impact,Sports,Travel","Movies/Film,TV"
15102,1375111019,"Enterprise Software,Financial Services,Healthcare,Mobile,Photos,Productivity Tools,Small Businesses,Video","Fitness,Nutrition,Quantified-self,Records,Wellness"
15103,1375111357,"Games,Mobile,Video",NULL
15104,1375111539,"Data & Analytics,Financial Services,Healthcare","Records"
15105,1375111906,"Advertising,Commerce,Data & Analytics,Dating,Enterprise Software,Fashion,Financial Services,Mobile,Payments,Recruiting,Social Impact",NULL
15106,1375111979,"Financial Services,Mobile",NULL
15107,1375112416,"Individualized Learning",NULL
15108,1375112493,"Cloud Services,Data & Analytics,Enterprise Software,Hardware,Healthcare,Mobile,Photos,Productivity Tools,Video","Records"
15109,1375112502,"Education,Mobile,Productivity Tools","In-classroom learning (K-12),Lifelong Learning (outside of school),Higher Education"
15110,1375112753,"Games,Mobile,Video",NULL
15111,1375113517,"Education,Youth Leadership","Lifelong Learning (outside of school),Teacher training,Youth Leadership"
15112,1375113821,"Cloud Services,Mobile,Payments,Productivity Tools,Social Impact",NULL
15113,1375114523,"Advertising,Commerce,Games,Media,Sports",""
15114,1375115136,"Enterprise Software,Payments,Productivity Tools,Recruiting,Sports",NULL
15115,1375115467,"Dating,Events,Mobile,Payments,Photos,Recruiting,Small Businesses",NULL
15116,1375115696,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Financial Services,Games,Hardware,Mobile,Productivity Tools,Small Businesses,Video",NULL
15117,1375115890,"Commerce,Data & Analytics,Education,Financial Services,Hardware,Local,Media,Mobile,Payments,Small Businesses","Edutainment,Lifelong Learning (outside of school),Content,Movies/Film,News,TV"
15118,1375116895,"Education","Higher Education"
15119,1375117739,"Education,Music,Travel",""
15120,1375118013,"Cloud Services,Data & Analytics,Enterprise Software,Events,Green,Media,Mobile,Music,Photos,Small Businesses",NULL
15121,1375118257,"Cloud Services,Data & Analytics,Education,Social Impact",NULL
15122,1375118932,"Green",NULL
15123,1375119173,"Cloud Services,Dating,Enterprise Software,Green,Hardware,Local,Productivity Tools,Small Businesses,Social Impact",""
